Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.842391304347826,0.90363462458154,0.8411214953271028,0.8823529411764706,0.861244019138756,0.6801373270763298
Decision Tree,0.7663043478260869,0.7617168818747011,0.780952380952381,0.803921568627451,0.7922705314009661,0.5256062853242709
K-Nearest Neighbors,0.8369565217391305,0.8907221425155428,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.6691100232489893
Naive Bayes,0.8478260869565217,0.8947871831659492,0.8363636363636363,0.9019607843137256,0.8679245283018868,0.6917748198398471
Random Forest,0.8206521739130435,0.9161884265901482,0.822429906542056,0.8627450980392157,0.8421052631578947,0.6358067326087263
